team,elo_after,season,date,elo_before
Miami,1488.1411190816464,1998,1998-05-08,1471.689727791632
Houston Dynamo,1464.9383788910088,1998,1998-05-08,1448.398584955741
New York Red Bulls,1479.6046741470614,1998,1998-05-08,1489.1828390368455
Columbus Crew,1525.2730478078533,1998,1998-05-08,1541.7244390978676
New England Revolution,1527.9463277980126,1998,1998-05-09,1522.163882412892
Mutiny,1417.0300207849707,1998,1998-05-09,1422.8124661700913
DC United,1582.2362824239606,1998,1998-05-12,1575.0332714151843
Mutiny,1427.0701808364051,1998,1998-05-12,1417.0300207849707
New England Revolution,1520.7433167892364,1998,1998-05-12,1527.9463277980126
Sporting Kansas City,1449.7339395075373,1998,1998-05-12,1459.7740995589718
FC Dallas,1532.9144675496868,1998,1998-05-15,1525.9614873151438
Houston Dynamo,1479.023210566041,1998,1998-05-15,1464.9383788910088
Mutiny,1413.0086182138225,1998,1998-05-15,1427.0701808364051
New England Revolution,1494.5359574808024,1998,1998-05-15,1520.7433167892364
New York Red Bulls,1491.6955649387316,1998,1998-05-15,1479.6046741470614
Colorado Rapids,1463.2175191208783,1998,1998-05-15,1470.1704993554213
Miami,1474.0562874066143,1998,1998-05-15,1488.1411190816464
Chicago Fire,1480.8455515558207,1998,1998-05-15,1466.783988933238
Sporting Kansas City,1475.9412988159713,1998,1998-05-15,1449.7339395075373
DC United,1570.1453916322903,1998,1998-05-15,1582.2362824239606
Columbus Crew,1505.932152693521,1998,1998-05-16,1525.2730478078533
Los Angeles Galaxy,1618.68398002582,1998,1998-05-16,1599.3430849114875
Chicago Fire,1500.7981772185553,1998,1998-05-19,1480.8455515558207
FC Dallas,1515.8338875434108,1998,1998-05-19,1532.9144675496868
Los Angeles Galaxy,1598.7313543630853,1998,1998-05-19,1618.68398002582
Sporting Kansas City,1493.0218788222473,1998,1998-05-19,1475.9412988159713
New England Revolution,1472.0425488540186,1998,1998-05-21,1494.5359574808024
Columbus Crew,1528.4255613203047,1998,1998-05-21,1505.932152693521
Chicago Fire,1515.7618953207675,1998,1998-05-22,1500.7981772185553
DC United,1574.5949310602657,1998,1998-05-22,1570.1453916322903
Los Angeles Galaxy,1609.5958994850248,1998,1998-05-22,1598.7313543630853
New York Red Bulls,1503.8235913021706,1998,1998-05-22,1491.6955649387316
Sporting Kansas City,1477.2199716999044,1998,1998-05-22,1493.0218788222473
Colorado Rapids,1448.253801018666,1998,1998-05-22,1463.2175191208783
Mutiny,1408.559078785847,1998,1998-05-22,1413.0086182138225
FC Dallas,1504.9693424214713,1998,1998-05-22,1515.8338875434108
Miami,1461.9282610431753,1998,1998-05-22,1474.0562874066143
Houston Dynamo,1494.825117688384,1998,1998-05-22,1479.023210566041
Sporting Kansas City,1487.5456659381086,1998,1998-05-26,1477.2199716999044
Columbus Crew,1518.0998670821004,1998,1998-05-26,1528.4255613203047
Colorado Rapids,1464.1408242916555,1998,1998-05-27,1448.253801018666
Miami,1446.041237770186,1998,1998-05-27,1461.9282610431753
Columbus Crew,1531.9464848373873,1998,1998-05-29,1518.0998670821004
Los Angeles Galaxy,1591.5188955298484,1998,1998-05-29,1609.5958994850248
Mutiny,1398.8128026703694,1998,1998-05-29,1408.559078785847
Houston Dynamo,1480.978499933097,1998,1998-05-29,1494.825117688384
Chicago Fire,1533.838899275944,1998,1998-05-29,1515.7618953207675
DC United,1584.3412071757434,1998,1998-05-29,1574.5949310602657
Colorado Rapids,1473.5373630107924,1998,1998-05-30,1464.1408242916555
FC Dallas,1515.2655441431684,1998,1998-05-30,1504.9693424214713
New England Revolution,1457.7161695074592,1998,1998-05-30,1472.0425488540186
Sporting Kansas City,1478.1491272189717,1998,1998-05-30,1487.5456659381086
Miami,1435.7450360484888,1998,1998-05-30,1446.041237770186
New York Red Bulls,1518.14997064873,1998,1998-05-30,1503.8235913021706
Houston Dynamo,1458.6962627462833,1998,1998-06-02,1480.978499933097
New York Red Bulls,1499.442584327419,1998,1998-06-02,1518.14997064873
DC United,1606.6234443625572,1998,1998-06-02,1584.3412071757434
Mutiny,1417.5201889916805,1998,1998-06-02,1398.8128026703694
FC Dallas,1486.4230069657144,1998,1998-06-03,1515.2655441431684
Los Angeles Galaxy,1620.3614327073024,1998,1998-06-03,1591.5188955298484
Chicago Fire,1546.7063489731843,1998,1998-06-05,1533.838899275944
Colorado Rapids,1485.7952686910567,1998,1998-06-05,1473.5373630107924
Sporting Kansas City,1484.9653782237474,1998,1998-06-05,1478.1491272189717
Columbus Crew,1519.079035140147,1998,1998-06-05,1531.9464848373873
Houston Dynamo,1446.438357066019,1998,1998-06-05,1458.6962627462833
Mutiny,1410.7039379869047,1998,1998-06-05,1417.5201889916805
DC United,1587.8955855594684,1998,1998-06-06,1606.6234443625572
Los Angeles Galaxy,1628.4909638987463,1998,1998-06-06,1620.3614327073024
Miami,1422.4957368893852,1998,1998-06-06,1435.7450360484888
FC Dallas,1505.1508657688032,1998,1998-06-06,1486.4230069657144
New England Revolution,1449.5866383160153,1998,1998-06-06,1457.7161695074592
New York Red Bulls,1512.6918834865226,1998,1998-06-06,1499.442584327419
Chicago Fire,1556.7851560665033,1998,1998-06-10,1546.7063489731843
Houston Dynamo,1436.3595499727,1998,1998-06-10,1446.438357066019
Columbus Crew,1506.0048797342354,1998,1998-06-12,1519.079035140147
New York Red Bulls,1521.7172552738202,1998,1998-06-12,1512.6918834865226
DC United,1600.96974096538,1998,1998-06-12,1587.8955855594684
Miami,1413.4703651020875,1998,1998-06-12,1422.4957368893852
New England Revolution,1431.9595269524825,1998,1998-06-13,1449.5866383160153
Chicago Fire,1574.412267430036,1998,1998-06-13,1556.7851560665033
Chicago Fire,1580.9886252974732,1998,1998-06-16,1574.412267430036
FC Dallas,1498.5745079013661,1998,1998-06-16,1505.1508657688032
Los Angeles Galaxy,1633.2497240411408,1998,1998-06-17,1628.4909638987463
Colorado Rapids,1481.0365085486621,1998,1998-06-17,1485.7952686910567
Columbus Crew,1515.1494872361372,1998,1998-06-19,1506.0048797342354
New York Red Bulls,1512.5726477719184,1998,1998-06-19,1521.7172552738202
FC Dallas,1480.6519786067286,1998,1998-06-20,1498.5745079013661
Mutiny,1428.6264672815423,1998,1998-06-20,1410.7039379869047
Chicago Fire,1591.255794126855,1998,1998-06-23,1580.9886252974732
New York Red Bulls,1521.9761822912603,1998,1998-06-23,1512.5726477719184
Sporting Kansas City,1474.6982093943654,1998,1998-06-23,1484.9653782237474
New England Revolution,1422.5559924331405,1998,1998-06-23,1431.9595269524825
Colorado Rapids,1500.0680811419022,1998,1998-06-24,1481.0365085486621
DC United,1581.93816837214,1998,1998-06-24,1600.96974096538
Houston Dynamo,1427.6218829673592,1998,1998-06-26,1436.3595499727
Miami,1422.5968543592046,1998,1998-06-26,1413.4703651020875
New England Revolution,1409.1156563223153,1998,1998-06-26,1422.5559924331405
Los Angeles Galaxy,1641.9873910464817,1998,1998-06-26,1633.2497240411408
Mutiny,1419.4999780244252,1998,1998-06-26,1428.6264672815423
FC Dallas,1494.0923147175538,1998,1998-06-26,1480.6519786067286
Chicago Fire,1601.4721318114848,1998,1998-06-30,1591.255794126855
Sporting Kansas City,1481.3761565327234,1998,1998-06-30,1474.6982093943654
FC Dallas,1483.875977032924,1998,1998-06-30,1494.0923147175538
New England Revolution,1402.4377091839574,1998,1998-06-30,1409.1156563223153
DC United,1588.5437564889855,1998,1998-07-01,1581.93816837214
Miami,1415.991266242359,1998,1998-07-01,1422.5968543592046
Houston Dynamo,1439.1912866337505,1998,1998-07-02,1427.6218829673592
Columbus Crew,1503.580083569746,1998,1998-07-02,1515.1494872361372
Colorado Rapids,1509.4154038654476,1998,1998-07-03,1500.0680811419022
FC Dallas,1472.4832075953595,1998,1998-07-03,1483.875977032924
Los Angeles Galaxy,1648.5536422420437,1998,1998-07-03,1641.9873910464817
Mutiny,1403.6031468821454,1998,1998-07-03,1419.4999780244252
New York Red Bulls,1512.628859567715,1998,1998-07-03,1521.9761822912603
Chicago Fire,1612.8649012490494,1998,1998-07-03,1601.4721318114848
Sporting Kansas City,1474.8099053371614,1998,1998-07-03,1481.3761565327234
New England Revolution,1418.3345403262372,1998,1998-07-03,1402.4377091839574
Columbus Crew,1525.1411509342986,1998,1998-07-08,1503.580083569746
Chicago Fire,1591.3038338844967,1998,1998-07-08,1612.8649012490494
Colorado Rapids,1515.4093867630966,1998,1998-07-10,1509.4154038654476
DC United,1607.1372575455132,1998,1998-07-10,1588.5437564889855
New York Red Bulls,1494.170406541652,1998,1998-07-10,1512.628859567715
Sporting Kansas City,1487.6566923218245,1998,1998-07-10,1474.8099053371614
New England Revolution,1412.3405574285882,1998,1998-07-10,1418.3345403262372
Los Angeles Galaxy,1629.960141185516,1998,1998-07-10,1648.5536422420437
Mutiny,1422.0615999082083,1998,1998-07-10,1403.6031468821454
FC Dallas,1459.6364206106964,1998,1998-07-10,1472.4832075953595
Miami,1425.38106453159,1998,1998-07-14,1415.991266242359
Mutiny,1409.4785865999168,1998,1998-07-14,1422.0615999082083
New England Revolution,1403.5358193635686,1998,1998-07-14,1412.3405574285882
Houston Dynamo,1429.8014883445194,1998,1998-07-14,1439.1912866337505
Los Angeles Galaxy,1642.5431544938076,1998,1998-07-14,1629.960141185516
DC United,1615.9419956105328,1998,1998-07-14,1607.1372575455132
DC United,1629.715864616695,1998,1998-07-17,1615.9419956105328
FC Dallas,1434.0526928475454,1998,1998-07-17,1459.6364206106964
Houston Dynamo,1413.8042239425797,1998,1998-07-17,1429.8014883445194
Los Angeles Galaxy,1621.8730951809912,1998,1998-07-17,1642.5431544938076
Chicago Fire,1577.5299648783346,1998,1998-07-17,1591.3038338844967
New England Revolution,1429.1195471267197,1998,1998-07-17,1403.5358193635686
Mutiny,1425.4758510018564,1998,1998-07-17,1409.4785865999168
Miami,1446.0511238444064,1998,1998-07-17,1425.38106453159
New York Red Bulls,1511.0521280646801,1998,1998-07-18,1494.170406541652
Sporting Kansas City,1504.3517306385795,1998,1998-07-18,1487.6566923218245
Columbus Crew,1508.2594294112705,1998,1998-07-18,1525.1411509342986
Colorado Rapids,1498.7143484463415,1998,1998-07-18,1515.4093867630966
Columbus Crew,1490.7007510121439,1998,1998-07-24,1508.2594294112705
Houston Dynamo,1425.4778269181181,1998,1998-07-24,1413.8042239425797
Los Angeles Galaxy,1606.7627037501636,1998,1998-07-24,1621.8730951809912
Mutiny,1412.5533650893317,1998,1998-07-24,1425.4758510018564
New York Red Bulls,1521.8978930391372,1998,1998-07-24,1511.0521280646801
FC Dallas,1451.6113712466718,1998,1998-07-24,1434.0526928475454
Sporting Kansas City,1492.678127663041,1998,1998-07-24,1504.3517306385795
DC United,1644.8262560475225,1998,1998-07-24,1629.715864616695
Colorado Rapids,1511.6368343588663,1998,1998-07-24,1498.7143484463415
Chicago Fire,1566.6841999038775,1998,1998-07-24,1577.5299648783346
New England Revolution,1414.303913132415,1998,1998-07-25,1429.1195471267197
Miami,1460.8667578387112,1998,1998-07-25,1446.0511238444064
DC United,1647.9144794099636,1998,1998-07-28,1644.8262560475225
FC Dallas,1475.9171557586972,1998,1998-07-28,1451.6113712466718
Houston Dynamo,1448.9568452364572,1998,1998-07-28,1425.4778269181181
Miami,1470.47572815688,1998,1998-07-28,1460.8667578387112
New England Revolution,1396.165739390433,1998,1998-07-28,1414.303913132415
New York Red Bulls,1529.6298074171063,1998,1998-07-28,1521.8978930391372
Mutiny,1409.4651417268906,1998,1998-07-28,1412.5533650893317
Los Angeles Galaxy,1582.4569192381382,1998,1998-07-28,1606.7627037501636
Chicago Fire,1543.2051815855384,1998,1998-07-28,1566.6841999038775
Columbus Crew,1481.0917806939751,1998,1998-07-28,1490.7007510121439
Colorado Rapids,1529.7750081008483,1998,1998-07-28,1511.6368343588663
Sporting Kansas City,1484.946213285072,1998,1998-07-28,1492.678127663041
Colorado Rapids,1502.5264506772419,1998,1998-08-04,1529.7750081008483
New England Revolution,1414.329731038586,1998,1998-08-04,1396.165739390433
Los Angeles Galaxy,1609.7054766617446,1998,1998-08-04,1582.4569192381382
Houston Dynamo,1430.792853588304,1998,1998-08-04,1448.9568452364572
Mutiny,1425.4536087388756,1998,1998-08-05,1409.4651417268906
Miami,1454.487261144895,1998,1998-08-05,1470.47572815688
FC Dallas,1466.3688614157666,1998,1998-08-06,1475.9171557586972
DC United,1657.4627737528942,1998,1998-08-06,1647.9144794099636
Chicago Fire,1530.0517150692401,1998,1998-08-07,1543.2051815855384
Columbus Crew,1494.3823230417274,1998,1998-08-07,1481.0917806939751
Sporting Kansas City,1498.754531948204,1998,1998-08-07,1484.946213285072
Los Angeles Galaxy,1622.8589431780429,1998,1998-08-07,1609.7054766617446
New England Revolution,1401.0391886908337,1998,1998-08-07,1414.329731038586
Colorado Rapids,1488.7181320141099,1998,1998-08-07,1502.5264506772419
Houston Dynamo,1453.217534760309,1998,1998-08-08,1430.792853588304
New York Red Bulls,1507.2051262451014,1998,1998-08-08,1529.6298074171063
New York Red Bulls,1519.5571285938188,1998,1998-08-11,1507.2051262451014
Columbus Crew,1482.03032069301,1998,1998-08-11,1494.3823230417274
Los Angeles Galaxy,1631.9244150931297,1998,1998-08-12,1622.8589431780429
Sporting Kansas City,1489.6890600331171,1998,1998-08-12,1498.754531948204
Mutiny,1409.3312052887068,1998,1998-08-13,1425.4536087388756
New England Revolution,1417.1615921410025,1998,1998-08-13,1401.0391886908337
Chicago Fire,1536.4220106088085,1998,1998-08-14,1530.0517150692401
Colorado Rapids,1472.6587665098184,1998,1998-08-14,1488.7181320141099
Miami,1470.6836677181,1998,1998-08-14,1454.487261144895
Houston Dynamo,1446.8472392207407,1998,1998-08-14,1453.217534760309
FC Dallas,1482.428226920058,1998,1998-08-14,1466.3688614157666
New York Red Bulls,1503.3607220206138,1998,1998-08-14,1519.5571285938188
Columbus Crew,1495.3558410593898,1998,1998-08-15,1482.03032069301
Sporting Kansas City,1476.3635396667373,1998,1998-08-15,1489.6890600331171
New York Red Bulls,1516.813436608082,1998,1998-08-17,1503.3607220206138
Colorado Rapids,1459.2060519223503,1998,1998-08-17,1472.6587665098184
Miami,1479.6993470509854,1998,1998-08-18,1470.6836677181
FC Dallas,1473.4125475871726,1998,1998-08-18,1482.428226920058
Colorado Rapids,1440.0273417332762,1998,1998-08-20,1459.2060519223503
Chicago Fire,1555.6007207978826,1998,1998-08-20,1536.4220106088085
Columbus Crew,1504.5445758856326,1998,1998-08-21,1495.3558410593898
DC United,1662.2666357311966,1998,1998-08-21,1657.4627737528942
Houston Dynamo,1456.3480013627718,1998,1998-08-21,1446.8472392207407
New England Revolution,1401.8346563280008,1998,1998-08-21,1417.1615921410025
Mutiny,1400.142470462464,1998,1998-08-21,1409.3312052887068
New York Red Bulls,1512.0095746297795,1998,1998-08-21,1516.813436608082
FC Dallas,1463.9117854451415,1998,1998-08-21,1473.4125475871726
Los Angeles Galaxy,1647.2513509061314,1998,1998-08-21,1631.9244150931297
Sporting Kansas City,1489.4808844782867,1998,1998-08-22,1476.3635396667373
Miami,1466.582002239436,1998,1998-08-22,1479.6993470509854
Sporting Kansas City,1479.9586726301673,1998,1998-08-25,1489.4808844782867
DC United,1671.788847579316,1998,1998-08-25,1662.2666357311966
