team,win_prob,win,season,date,upset_win,upset_loss
New York Red Bulls,0.6327903115074526,1,2004,2004-05-30,NA,0
Sporting Kansas City,0.3672096884925474,0,2004,2004-05-30,0,NA
Sporting Kansas City,0.6606568811042232,0,2004,2004-06-02,NA,1
New England Revolution,0.33934311889577684,1,2004,2004-06-02,1,NA
Los Angeles Galaxy,0.7144837451602142,0,2004,2004-06-05,NA,1
New York Red Bulls,0.7589599521644519,0,2004,2004-06-05,NA,1
Chicago Fire,0.7148437528625651,1,2004,2004-06-05,NA,0
Sporting Kansas City,0.2855162548397858,1,2004,2004-06-05,1,NA
FC Dallas,0.2410400478355481,1,2004,2004-06-05,1,NA
DC United,0.2851562471374349,0,2004,2004-06-05,0,NA
New England Revolution,0.6329769811770065,0,2004,2004-06-06,NA,1
Columbus Crew,0.3670230188229935,1,2004,2004-06-06,1,NA
Colorado Rapids,0.6163953375202261,0,2004,2004-06-09,NA,1
Sporting Kansas City,0.3836046624797739,1,2004,2004-06-09,1,NA
Columbus Crew,0.6460757764746519,0.5,2004,2004-06-12,NA,NA
DC United,0.6240932358697358,0.5,2004,2004-06-12,NA,NA
FC Dallas,0.5789254870106375,1,2004,2004-06-12,NA,0
Houston Dynamo,0.7118025941707934,1,2004,2004-06-12,NA,0
Los Angeles Galaxy,0.6209994280717933,1,2004,2004-06-12,NA,0
Sporting Kansas City,0.35392422352534814,0.5,2004,2004-06-12,NA,NA
Colorado Rapids,0.37590676413026425,0.5,2004,2004-06-12,NA,NA
New England Revolution,0.4210745129893625,0,2004,2004-06-12,0,NA
New York Red Bulls,0.2881974058292066,0,2004,2004-06-12,0,NA
Chicago Fire,0.3790005719282067,0,2004,2004-06-12,0,NA
Chicago Fire,0.6120165605299632,0.5,2004,2004-06-19,NA,NA
Colorado Rapids,0.6616090278005501,0.5,2004,2004-06-19,NA,NA
DC United,0.5528323916967985,1,2004,2004-06-19,NA,0
New England Revolution,0.5717164494279785,0,2004,2004-06-19,NA,1
New York Red Bulls,0.5559327870287437,1,2004,2004-06-19,NA,0
Houston Dynamo,0.3879834394700368,0.5,2004,2004-06-19,NA,NA
FC Dallas,0.3383909721994499,0.5,2004,2004-06-19,NA,NA
Columbus Crew,0.44716760830320146,0,2004,2004-06-19,0,NA
Sporting Kansas City,0.4282835505720215,1,2004,2004-06-19,1,NA
Los Angeles Galaxy,0.4440672129712563,0,2004,2004-06-19,0,NA
Los Angeles Galaxy,0.6908125470466905,0,2004,2004-06-23,NA,1
New York Red Bulls,0.3091874529533095,1,2004,2004-06-23,1,NA
Columbus Crew,0.6826234951614245,0,2004,2004-06-26,NA,1
Houston Dynamo,0.6594496738142688,0.5,2004,2004-06-26,NA,NA
New England Revolution,0.5502715235355448,1,2004,2004-06-26,NA,0
FC Dallas,0.6256160477889028,0.5,2004,2004-06-26,NA,NA
Colorado Rapids,0.3173765048385755,1,2004,2004-06-26,1,NA
Sporting Kansas City,0.3405503261857312,0.5,2004,2004-06-26,NA,NA
New York Red Bulls,0.44972847646445524,0,2004,2004-06-26,0,NA
DC United,0.3743839522110972,0.5,2004,2004-06-26,NA,NA
Chicago Fire,0.6825838321294999,0,2004,2004-06-27,NA,1
Los Angeles Galaxy,0.3174161678705001,1,2004,2004-06-27,1,NA
New York Red Bulls,0.6648243772010265,0,2004,2004-06-30,NA,1
Colorado Rapids,0.3351756227989735,1,2004,2004-06-30,1,NA
Columbus Crew,0.6025076424852618,1,2004,2004-07-03,NA,0
Sporting Kansas City,0.7466322724122595,1,2004,2004-07-03,NA,0
DC United,0.6208926306090692,1,2004,2004-07-03,NA,0
Chicago Fire,0.3974923575147382,0,2004,2004-07-03,0,NA
FC Dallas,0.2533677275877405,0,2004,2004-07-03,0,NA
New York Red Bulls,0.3791073693909308,0,2004,2004-07-03,0,NA
Colorado Rapids,0.691659062915171,1,2004,2004-07-04,NA,0
Los Angeles Galaxy,0.5868967289311692,1,2004,2004-07-04,NA,0
New England Revolution,0.308340937084829,0,2004,2004-07-04,0,NA
Houston Dynamo,0.4131032710688308,0,2004,2004-07-04,0,NA
Houston Dynamo,0.7559182537686683,0,2004,2004-07-07,NA,1
FC Dallas,0.24408174623133172,1,2004,2004-07-07,1,NA
FC Dallas,0.5911319902002771,0.5,2004,2004-07-10,NA,NA
Los Angeles Galaxy,0.6588479671222756,1,2004,2004-07-10,NA,0
Sporting Kansas City,0.7213682782138473,1,2004,2004-07-10,NA,0
New York Red Bulls,0.5675673041542194,1,2004,2004-07-10,NA,0
Columbus Crew,0.40886800979972293,0.5,2004,2004-07-10,NA,NA
Colorado Rapids,0.34115203287772444,0,2004,2004-07-10,0,NA
DC United,0.2786317217861527,0,2004,2004-07-10,0,NA
Houston Dynamo,0.4324326958457806,0,2004,2004-07-10,0,NA
Chicago Fire,0.6979548330527641,0.5,2004,2004-07-11,NA,NA
New England Revolution,0.30204516694723593,0.5,2004,2004-07-11,NA,NA
Colorado Rapids,0.5870375886413425,0.5,2004,2004-07-14,NA,NA
New England Revolution,0.5910751243572291,1,2004,2004-07-14,NA,0
Los Angeles Galaxy,0.4129624113586575,0.5,2004,2004-07-14,NA,NA
Chicago Fire,0.4089248756427709,0,2004,2004-07-14,0,NA
Chicago Fire,0.6303486928419113,0.5,2004,2004-07-17,NA,NA
Columbus Crew,0.6776738667911364,0.5,2004,2004-07-17,NA,NA
DC United,0.567272874916906,0.5,2004,2004-07-17,NA,NA
FC Dallas,0.4981614356512674,0,2004,2004-07-17,0,NA
Houston Dynamo,0.6586287280505105,1,2004,2004-07-17,NA,0
New York Red Bulls,0.3696513071580887,0.5,2004,2004-07-17,NA,NA
New England Revolution,0.3223261332088636,0.5,2004,2004-07-17,NA,NA
Los Angeles Galaxy,0.43272712508309397,0.5,2004,2004-07-17,NA,NA
Sporting Kansas City,0.5018385643487326,1,2004,2004-07-17,NA,0
Colorado Rapids,0.34137127194948946,0,2004,2004-07-17,0,NA
Colorado Rapids,0.6188378642647369,0.5,2004,2004-07-24,NA,NA
FC Dallas,0.5952513871114692,1,2004,2004-07-24,NA,0
Houston Dynamo,0.6955108128386543,0.5,2004,2004-07-24,NA,NA
New York Red Bulls,0.6578204050082225,1,2004,2004-07-24,NA,0
Sporting Kansas City,0.6862970355947003,0.5,2004,2004-07-24,NA,NA
Columbus Crew,0.38116213573526314,0.5,2004,2004-07-24,NA,NA
DC United,0.4047486128885308,0,2004,2004-07-24,0,NA
New England Revolution,0.30448918716134565,0.5,2004,2004-07-24,NA,NA
Chicago Fire,0.3421795949917775,0,2004,2004-07-24,0,NA
Los Angeles Galaxy,0.31370296440529966,0.5,2004,2004-07-24,NA,NA
Colorado Rapids,0.654446560741815,1,2004,2004-07-28,NA,0
Columbus Crew,0.6821510722974345,1,2004,2004-07-28,NA,0
Sporting Kansas City,0.72949137562449,0,2004,2004-07-28,NA,1
Chicago Fire,0.34555343925818505,0,2004,2004-07-28,0,NA
FC Dallas,0.31784892770256545,0,2004,2004-07-28,0,NA
New York Red Bulls,0.27050862437551004,1,2004,2004-07-28,1,NA
FC Dallas,0.5977164066314672,1,2004,2004-08-07,NA,0
Houston Dynamo,0.7051641977787664,1,2004,2004-08-07,NA,0
New England Revolution,0.6044313327255721,0.5,2004,2004-08-07,NA,NA
Colorado Rapids,0.4022835933685328,0,2004,2004-08-07,0,NA
DC United,0.2948358022212336,0,2004,2004-08-07,0,NA
Columbus Crew,0.39556866727442785,0.5,2004,2004-08-07,NA,NA
New York Red Bulls,0.6024715304515131,1,2004,2004-08-08,NA,0
Los Angeles Galaxy,0.39752846954848686,0,2004,2004-08-08,0,NA
Chicago Fire,0.5417782387757327,1,2004,2004-08-11,NA,0
DC United,0.6021868321294924,1,2004,2004-08-11,NA,0
FC Dallas,0.6274939022236438,0,2004,2004-08-11,NA,1
Houston Dynamo,0.4582217612242673,0,2004,2004-08-11,0,NA
Colorado Rapids,0.3978131678705076,0,2004,2004-08-11,0,NA
New England Revolution,0.37250609777635624,1,2004,2004-08-11,1,NA
Chicago Fire,0.6389369285064047,0,2004,2004-08-14,NA,1
DC United,0.5889633158748593,0.5,2004,2004-08-14,NA,NA
Los Angeles Galaxy,0.6609404149048784,0.5,2004,2004-08-14,NA,NA
Sporting Kansas City,0.6879453641796339,0,2004,2004-08-14,NA,1
Colorado Rapids,0.3610630714935953,1,2004,2004-08-14,1,NA
New England Revolution,0.4110366841251407,0.5,2004,2004-08-14,NA,NA
Columbus Crew,0.3390595850951216,0.5,2004,2004-08-14,NA,NA
Houston Dynamo,0.3120546358203661,1,2004,2004-08-14,1,NA
New York Red Bulls,0.7476751681985043,0,2004,2004-08-15,NA,1
FC Dallas,0.2523248318014957,1,2004,2004-08-15,1,NA
Columbus Crew,0.6218796868802107,1,2004,2004-08-18,NA,0
Sporting Kansas City,0.37812031311978933,0,2004,2004-08-18,0,NA
Colorado Rapids,0.6131601470851109,1,2004,2004-08-21,NA,0
Columbus Crew,0.712427629124643,0.5,2004,2004-08-21,NA,NA
Houston Dynamo,0.7367911081400459,1,2004,2004-08-21,NA,0
Los Angeles Galaxy,0.7413955324230626,0.5,2004,2004-08-21,NA,NA
New England Revolution,0.6250412247079966,0,2004,2004-08-21,NA,1
New York Red Bulls,0.3868398529148891,0,2004,2004-08-21,0,NA
DC United,0.28757237087535703,0.5,2004,2004-08-21,NA,NA
FC Dallas,0.2632088918599541,0,2004,2004-08-21,0,NA
Chicago Fire,0.25860446757693745,0.5,2004,2004-08-21,NA,NA
Sporting Kansas City,0.3749587752920034,1,2004,2004-08-21,1,NA
FC Dallas,0.6464617982029317,1,2004,2004-08-28,NA,0
Houston Dynamo,0.7006856608272163,0.5,2004,2004-08-28,NA,NA
New England Revolution,0.6682968431688676,0.5,2004,2004-08-28,NA,NA
Chicago Fire,0.3535382017970683,0,2004,2004-08-28,0,NA
Colorado Rapids,0.2993143391727837,0.5,2004,2004-08-28,NA,NA
DC United,0.3317031568311324,0.5,2004,2004-08-28,NA,NA
New York Red Bulls,0.6219827200709982,0.5,2004,2004-08-29,NA,NA
Columbus Crew,0.3780172799290018,0.5,2004,2004-08-29,NA,NA
Chicago Fire,0.4952699519544291,1,2004,2004-09-01,1,NA
Sporting Kansas City,0.504730048045571,0,2004,2004-09-01,NA,1
Chicago Fire,0.6045883563658295,1,2004,2004-09-04,NA,0
Colorado Rapids,0.6950764504579534,1,2004,2004-09-04,NA,0
Columbus Crew,0.6459692309282264,1,2004,2004-09-04,NA,0
New England Revolution,0.5604536293910024,0,2004,2004-09-04,NA,1
Sporting Kansas City,0.6581161299038467,1,2004,2004-09-04,NA,0
DC United,0.3954116436341705,0,2004,2004-09-04,0,NA
FC Dallas,0.3049235495420466,0,2004,2004-09-04,0,NA
Los Angeles Galaxy,0.35403076907177355,0,2004,2004-09-04,0,NA
Houston Dynamo,0.4395463706089976,1,2004,2004-09-04,1,NA
New York Red Bulls,0.3418838700961533,0,2004,2004-09-04,0,NA
Houston Dynamo,0.6735383775607737,0,2004,2004-09-08,NA,1
Columbus Crew,0.3264616224392263,1,2004,2004-09-08,1,NA
Colorado Rapids,0.628949122503706,1,2004,2004-09-11,NA,0
Los Angeles Galaxy,0.5860494110090962,1,2004,2004-09-11,NA,0
New York Red Bulls,0.6643150264182125,1,2004,2004-09-11,NA,0
DC United,0.6439674464724197,1,2004,2004-09-11,NA,0
Sporting Kansas City,0.37105087749629395,0,2004,2004-09-11,0,NA
Houston Dynamo,0.41395058899090376,0,2004,2004-09-11,0,NA
New England Revolution,0.3356849735817875,0,2004,2004-09-11,0,NA
FC Dallas,0.35603255352758034,0,2004,2004-09-11,0,NA
Columbus Crew,0.7014686230548839,1,2004,2004-09-18,NA,0
DC United,0.6567549111966389,1,2004,2004-09-18,NA,0
FC Dallas,0.5414252991952575,1,2004,2004-09-18,NA,0
New England Revolution,0.5546912618135592,1,2004,2004-09-18,NA,0
Sporting Kansas City,0.6087734994798106,1,2004,2004-09-18,NA,0
New York Red Bulls,0.2985313769451161,0,2004,2004-09-18,0,NA
Chicago Fire,0.34324508880336113,0,2004,2004-09-18,0,NA
Los Angeles Galaxy,0.4585747008047425,0,2004,2004-09-18,0,NA
Colorado Rapids,0.4453087381864408,0,2004,2004-09-18,0,NA
Houston Dynamo,0.39122650052018937,0,2004,2004-09-18,0,NA
Chicago Fire,0.5885199463691613,1,2004,2004-09-25,NA,0
Columbus Crew,0.7300992906638131,1,2004,2004-09-25,NA,0
FC Dallas,0.5970805197512479,0,2004,2004-09-25,NA,1
Houston Dynamo,0.6748574976419381,0.5,2004,2004-09-25,NA,NA
Sporting Kansas City,0.6563085990444918,1,2004,2004-09-25,NA,0
New England Revolution,0.4114800536308387,0,2004,2004-09-25,0,NA
DC United,0.26990070933618693,0,2004,2004-09-25,0,NA
New York Red Bulls,0.4029194802487521,1,2004,2004-09-25,1,NA
Los Angeles Galaxy,0.32514250235806186,0.5,2004,2004-09-25,NA,NA
Colorado Rapids,0.3436914009555082,0,2004,2004-09-25,0,NA
Colorado Rapids,0.6119920692729955,0.5,2004,2004-10-02,NA,NA
Columbus Crew,0.7618094595982425,0.5,2004,2004-10-02,NA,NA
Los Angeles Galaxy,0.6042286592485978,0.5,2004,2004-10-02,NA,NA
New England Revolution,0.6860374149753473,1,2004,2004-10-02,NA,0
New York Red Bulls,0.6799981672373921,0,2004,2004-10-02,NA,1
Houston Dynamo,0.38800793072700446,0.5,2004,2004-10-02,NA,NA
Chicago Fire,0.23819054040175747,0.5,2004,2004-10-02,NA,NA
Sporting Kansas City,0.3957713407514022,0.5,2004,2004-10-02,NA,NA
FC Dallas,0.3139625850246527,0,2004,2004-10-02,0,NA
DC United,0.32000183276260785,1,2004,2004-10-02,1,NA
Chicago Fire,0.5152471825754797,0,2004,2004-10-06,NA,1
Columbus Crew,0.48475281742452025,1,2004,2004-10-06,1,NA
DC United,0.6570553541634531,1,2004,2004-10-09,NA,0
Houston Dynamo,0.6295916636429916,0.5,2004,2004-10-09,NA,NA
Los Angeles Galaxy,0.7298187044278409,1,2004,2004-10-09,NA,0
New York Red Bulls,0.5326405154287386,0.5,2004,2004-10-09,NA,NA
New England Revolution,0.34294464583654694,0,2004,2004-10-09,0,NA
Sporting Kansas City,0.3704083363570084,0.5,2004,2004-10-09,NA,NA
FC Dallas,0.2701812955721591,0,2004,2004-10-09,0,NA
Columbus Crew,0.4673594845712614,0.5,2004,2004-10-09,NA,NA
Colorado Rapids,0.5321128552461294,0.5,2004,2004-10-16,NA,NA
FC Dallas,0.49583863176397086,0.5,2004,2004-10-16,NA,NA
New England Revolution,0.6627549564372898,1,2004,2004-10-16,NA,0
Sporting Kansas City,0.6723623803398467,1,2004,2004-10-16,NA,0
Columbus Crew,0.4678871447538706,0.5,2004,2004-10-16,NA,NA
Houston Dynamo,0.5041613682360291,0.5,2004,2004-10-16,NA,NA
Chicago Fire,0.33724504356271023,0,2004,2004-10-16,0,NA
Los Angeles Galaxy,0.32763761966015326,0,2004,2004-10-16,0,NA
DC United,0.654144815427617,1,2004,2004-10-17,NA,0
New York Red Bulls,0.34585518457238296,0,2004,2004-10-17,0,NA
Colorado Rapids,0.6331456691417977,1,2004,2004-10-22,NA,0
Los Angeles Galaxy,0.3668543308582023,0,2004,2004-10-22,0,NA
New England Revolution,0.5140550351625464,1,2004,2004-10-23,NA,0
New York Red Bulls,0.6031052554208317,0,2004,2004-10-23,NA,1
Columbus Crew,0.48594496483745364,0,2004,2004-10-23,0,NA
DC United,0.3968947445791683,1,2004,2004-10-23,1,NA
Houston Dynamo,0.6103582192314451,1,2004,2004-10-24,NA,0
Sporting Kansas City,0.38964178076855494,0,2004,2004-10-24,0,NA
DC United,0.7276710024833505,1,2004,2004-10-30,NA,0
Los Angeles Galaxy,0.6234437905518262,1,2004,2004-10-30,NA,0
Sporting Kansas City,0.6320406680387521,1,2004,2004-10-30,NA,0
New York Red Bulls,0.2723289975166495,0,2004,2004-10-30,0,NA
Colorado Rapids,0.3765562094481738,0,2004,2004-10-30,0,NA
Houston Dynamo,0.36795933196124786,0,2004,2004-10-30,0,NA
Columbus Crew,0.7232791548304702,0.5,2004,2004-10-31,NA,NA
New England Revolution,0.27672084516952977,0.5,2004,2004-10-31,NA,NA
Sporting Kansas City,0.6878919856088548,1,2004,2004-11-05,NA,0
Los Angeles Galaxy,0.3121080143911452,0,2004,2004-11-05,0,NA
DC United,0.6962668543827649,1,2004,2004-11-06,NA,0
New England Revolution,0.3037331456172351,0,2004,2004-11-06,0,NA
Sporting Kansas City,0.6414957391620175,0,2004,2004-11-14,NA,1
DC United,0.3585042608379825,1,2004,2004-11-14,1,NA
Columbus Crew,0.6888698218614705,1,2005,2005-04-02,NA,0
FC Dallas,0.6123180009165095,1,2005,2005-04-02,NA,0
Houston Dynamo,0.6586603332910014,0.5,2005,2005-04-02,NA,NA
New York Red Bulls,0.6070285032080165,0.5,2005,2005-04-02,NA,NA
Sporting Kansas City,0.6771770092073442,1,2005,2005-04-02,NA,0
Chivas USA,0.5808012069673953,0,2005,2005-04-02,NA,1
Los Angeles Galaxy,0.3111301781385295,0,2005,2005-04-02,0,NA
Chicago Fire,0.38768199908349055,0,2005,2005-04-02,0,NA
New England Revolution,0.3413396667089986,0.5,2005,2005-04-02,NA,NA
Real Salt Lake,0.3929714967919835,0.5,2005,2005-04-02,NA,NA
Colorado Rapids,0.32282299079265575,0,2005,2005-04-02,0,NA
DC United,0.41919879303260466,1,2005,2005-04-02,1,NA
Colorado Rapids,0.6756051787097312,0.5,2005,2005-04-09,NA,NA
DC United,0.7604143682240372,0.5,2005,2005-04-09,NA,NA
Los Angeles Galaxy,0.6176009211391574,1,2005,2005-04-09,NA,0
New England Revolution,0.5751999121812703,1,2005,2005-04-09,NA,0
Houston Dynamo,0.6790613536917528,0.5,2005,2005-04-09,NA,NA
FC Dallas,0.32439482129026875,0.5,2005,2005-04-09,NA,NA
Chicago Fire,0.23958563177596282,0.5,2005,2005-04-09,NA,NA
Real Salt Lake,0.38239907886084257,0,2005,2005-04-09,0,NA
Columbus Crew,0.4248000878187297,0,2005,2005-04-09,0,NA
Chivas USA,0.3209386463082472,0.5,2005,2005-04-09,NA,NA
Columbus Crew,0.6051887890645954,1,2005,2005-04-15,NA,0
DC United,0.3948112109354046,0,2005,2005-04-15,0,NA
Chicago Fire,0.5923154071056989,1,2005,2005-04-16,NA,0
Chivas USA,0.6629759876320828,0,2005,2005-04-16,NA,1
New York Red Bulls,0.5568755577599137,0.5,2005,2005-04-16,NA,NA
Real Salt Lake,0.6452600825422233,1,2005,2005-04-16,NA,0
Houston Dynamo,0.40768459289430115,0,2005,2005-04-16,0,NA
FC Dallas,0.33702401236791724,1,2005,2005-04-16,1,NA
Sporting Kansas City,0.4431244422400863,0.5,2005,2005-04-16,NA,NA
Colorado Rapids,0.35473991745777667,0,2005,2005-04-16,0,NA
New York Red Bulls,0.6293094693420598,0,2005,2005-04-22,NA,1
Chicago Fire,0.3706905306579402,1,2005,2005-04-22,1,NA
Colorado Rapids,0.5497245302154126,1,2005,2005-04-23,NA,0
DC United,0.6762853864410966,0,2005,2005-04-23,NA,1
FC Dallas,0.6299320705330359,1,2005,2005-04-23,NA,0
Houston Dynamo,0.5862828841743698,1,2005,2005-04-23,NA,0
Los Angeles Galaxy,0.6913467106410653,1,2005,2005-04-23,NA,0
Columbus Crew,0.45027546978458743,0,2005,2005-04-23,0,NA
New England Revolution,0.3237146135589034,1,2005,2005-04-23,1,NA
Real Salt Lake,0.3700679294669641,0,2005,2005-04-23,0,NA
Sporting Kansas City,0.4137171158256302,0,2005,2005-04-23,0,NA
Chivas USA,0.30865328935893466,0,2005,2005-04-23,0,NA
Chicago Fire,0.5826789682212808,0,2005,2005-04-27,NA,1
New England Revolution,0.41732103177871915,1,2005,2005-04-27,1,NA
Colorado Rapids,0.6863826570217916,0,2005,2005-04-30,NA,1
Columbus Crew,0.7095761574675136,0,2005,2005-04-30,NA,1
Los Angeles Galaxy,0.6472725501549387,1,2005,2005-04-30,NA,0
New England Revolution,0.772985143212662,1,2005,2005-04-30,NA,0
Real Salt Lake,0.6085389891976831,0.5,2005,2005-04-30,NA,NA
Sporting Kansas City,0.6299305383988548,0.5,2005,2005-04-30,NA,NA
New York Red Bulls,0.3136173429782084,1,2005,2005-04-30,1,NA
Chicago Fire,0.29042384253248643,1,2005,2005-04-30,1,NA
FC Dallas,0.3527274498450613,0,2005,2005-04-30,0,NA
Chivas USA,0.22701485678733802,0,2005,2005-04-30,0,NA
Houston Dynamo,0.3914610108023169,0.5,2005,2005-04-30,NA,NA
DC United,0.3700694616011452,0.5,2005,2005-04-30,NA,NA
Chivas USA,0.5907880141506356,1,2005,2005-05-07,NA,0
DC United,0.6856686583531787,1,2005,2005-05-07,NA,0
New England Revolution,0.7278176165364058,1,2005,2005-05-07,NA,0
Sporting Kansas City,0.6775975165668221,0.5,2005,2005-05-07,NA,NA
New York Red Bulls,0.6041885629714839,0,2005,2005-05-07,NA,1
Real Salt Lake,0.40921198584936436,0,2005,2005-05-07,0,NA
Columbus Crew,0.3143313416468213,0,2005,2005-05-07,0,NA
Chicago Fire,0.27218238346359425,0,2005,2005-05-07,0,NA
FC Dallas,0.3224024834331779,0.5,2005,2005-05-07,NA,NA
Houston Dynamo,0.39581143702851607,1,2005,2005-05-07,1,NA
Los Angeles Galaxy,0.7100216319257324,1,2005,2005-05-08,NA,0
Colorado Rapids,0.2899783680742676,0,2005,2005-05-08,0,NA
Chicago Fire,0.665281322631398,0,2005,2005-05-14,NA,1
Colorado Rapids,0.6507572128595257,1,2005,2005-05-14,NA,0
Columbus Crew,0.6011767278089846,0,2005,2005-05-14,NA,1
Houston Dynamo,0.6730301656522234,0.5,2005,2005-05-14,NA,NA
New England Revolution,0.6785153788746145,1,2005,2005-05-14,NA,0
Real Salt Lake,0.55584338305758485,1,2005,2005-05-14,NA,0
New York Red Bulls,0.33471867736860195,1,2005,2005-05-14,1,NA
Chivas USA,0.3492427871404743,0,2005,2005-05-14,0,NA
Sporting Kansas City,0.39882327219101543,1,2005,2005-05-14,1,NA
FC Dallas,0.3269698343477766,0.5,2005,2005-05-14,NA,NA
DC United,0.32148462112538545,0,2005,2005-05-14,0,NA
Los Angeles Galaxy,0.44415661694241515,0,2005,2005-05-14,0,NA
FC Dallas,0.6809462117663849,1,2005,2005-05-18,NA,0
Real Salt Lake,0.6858118559567358,1,2005,2005-05-18,NA,0
Colorado Rapids,0.3190537882336151,0,2005,2005-05-18,0,NA
Chivas USA,0.31418814404326423,0,2005,2005-05-18,0,NA
Chicago Fire,0.6353781265340621,1,2005,2005-05-21,NA,0
Columbus Crew,0.5997432225439389,1,2005,2005-05-21,NA,0
DC United,0.6329298251548493,1,2005,2005-05-21,NA,0
Los Angeles Galaxy,0.6422303310709597,1,2005,2005-05-21,NA,0
New York Red Bulls,0.5150110466787655,0.5,2005,2005-05-21,NA,NA
Colorado Rapids,0.3646218734659379,0,2005,2005-05-21,0,NA
Real Salt Lake,0.40025677745606114,0,2005,2005-05-21,0,NA
Sporting Kansas City,0.3670701748451507,0,2005,2005-05-21,0,NA
Houston Dynamo,0.3577696689290403,0,2005,2005-05-21,0,NA
New England Revolution,0.4849889533212345,0.5,2005,2005-05-21,NA,NA
Chivas USA,0.5351314201030953,0,2005,2005-05-22,NA,1
FC Dallas,0.46486857989690467,1,2005,2005-05-22,1,NA
Colorado Rapids,0.5620970952165504,0,2005,2005-05-25,NA,1
Los Angeles Galaxy,0.7061753781201279,0.5,2005,2005-05-25,NA,NA
Sporting Kansas City,0.6928102796249472,1,2005,2005-05-25,NA,0
Houston Dynamo,0.4379029047834496,1,2005,2005-05-25,1,NA
Columbus Crew,0.29382462187987213,0.5,2005,2005-05-25,NA,NA
New York Red Bulls,0.30718972037505277,0,2005,2005-05-25,0,NA
Chivas USA,0.4816672751289207,0,2005,2005-05-28,0,NA
Columbus Crew,0.6320773882367502,0,2005,2005-05-28,NA,1
DC United,0.6619328404770136,0,2005,2005-05-28,NA,1
New England Revolution,0.803997228085033,0.5,2005,2005-05-28,NA,NA
Real Salt Lake,0.6532926443646967,0,2005,2005-05-28,NA,1
Sporting Kansas City,0.6660864731286387,1,2005,2005-05-28,NA,0
Los Angeles Galaxy,0.5183327248710793,1,2005,2005-05-28,NA,0
New York Red Bulls,0.3679226117632498,1,2005,2005-05-28,1,NA
FC Dallas,0.3380671595229864,1,2005,2005-05-28,1,NA
Colorado Rapids,0.19600277191496696,0.5,2005,2005-05-28,NA,NA
Chicago Fire,0.3467073556353033,1,2005,2005-05-28,1,NA
Houston Dynamo,0.33391352687136133,0,2005,2005-05-28,0,NA
New York Red Bulls,0.6650871433635178,1,2005,2005-05-31,NA,0
Chicago Fire,0.3349128566364822,0,2005,2005-05-31,0,NA
Chivas USA,0.4177350956760389,0.5,2005,2005-06-01,NA,NA
Sporting Kansas City,0.5822649043239612,0.5,2005,2005-06-01,NA,NA
Houston Dynamo,0.6280012579670251,0.5,2005,2005-06-04,NA,NA
Los Angeles Galaxy,0.6651063966021589,0.5,2005,2005-06-04,NA,NA
New England Revolution,0.6766739944011112,0.5,2005,2005-06-04,NA,NA
Real Salt Lake,0.49212450197220436,0,2005,2005-06-04,0,NA
Chicago Fire,0.750165706430152,1,2005,2005-06-04,NA,0
DC United,0.3719987420329749,0.5,2005,2005-06-04,NA,NA
New York Red Bulls,0.33489360339784113,0.5,2005,2005-06-04,NA,NA
Sporting Kansas City,0.3233260055988888,0.5,2005,2005-06-04,NA,NA
FC Dallas,0.5078754980277956,1,2005,2005-06-04,NA,0
Chivas USA,0.249834293569848,0,2005,2005-06-04,0,NA
Los Angeles Galaxy,0.7649436023740629,1,2005,2005-06-11,NA,0
Sporting Kansas City,0.6133891382695948,0,2005,2005-06-11,NA,1
Columbus Crew,0.650212035801554,1,2005,2005-06-11,NA,0
Real Salt Lake,0.2350563976259371,0,2005,2005-06-11,0,NA
New England Revolution,0.38661086173040515,1,2005,2005-06-11,1,NA
Colorado Rapids,0.34978796419844604,0,2005,2005-06-11,0,NA
Chicago Fire,0.5346048801226928,1,2005,2005-06-12,NA,0
Chivas USA,0.46101017442955255,0.5,2005,2005-06-12,NA,NA
New York Red Bulls,0.637924025234153,0.5,2005,2005-06-12,NA,NA
FC Dallas,0.4653951198773072,0,2005,2005-06-12,0,NA
Houston Dynamo,0.5389898255704475,0.5,2005,2005-06-12,NA,NA
DC United,0.36207597476584696,0.5,2005,2005-06-12,NA,NA
Colorado Rapids,0.49410799161360835,1,2005,2005-06-15,1,NA
DC United,0.66214908792647,1,2005,2005-06-15,NA,0
Los Angeles Galaxy,0.5058920083863916,0,2005,2005-06-15,NA,1
Chicago Fire,0.33785091207353,0,2005,2005-06-15,0,NA
Chivas USA,0.5505791281151556,0,2005,2005-06-18,NA,1
DC United,0.5620972380458747,1,2005,2005-06-18,NA,0
FC Dallas,0.6733569467264862,1,2005,2005-06-18,NA,0
Houston Dynamo,0.7434762289272864,1,2005,2005-06-18,NA,0
New York Red Bulls,0.7145304320867885,1,2005,2005-06-18,NA,0
Chicago Fire,0.6052479773393238,0.5,2005,2005-06-18,NA,NA
Colorado Rapids,0.44942087188484436,1,2005,2005-06-18,1,NA
New England Revolution,0.43790276195412525,0,2005,2005-06-18,0,NA
Los Angeles Galaxy,0.32664305327351384,0,2005,2005-06-18,0,NA
Real Salt Lake,0.2565237710727136,0,2005,2005-06-18,0,NA
Columbus Crew,0.28546956791321154,0,2005,2005-06-18,0,NA
Sporting Kansas City,0.3947520226606762,0.5,2005,2005-06-18,NA,NA
Columbus Crew,0.46632007252801533,0,2005,2005-06-22,0,NA
FC Dallas,0.8474449826439949,1,2005,2005-06-22,NA,0
