season,date,home_team,home_final,away_final,away_team,penalties
1998,1998-07-03,FC Dallas,0,1,Chicago Fire,0
1998,1998-07-03,Los Angeles Galaxy,2,0,Sporting Kansas City,0
1998,1998-07-03,Mutiny,2,3,New England Revolution,0
1998,1998-07-08,Columbus Crew,3,0,Chicago Fire,0
1998,1998-07-10,Colorado Rapids,2,1,New England Revolution,0
1998,1998-07-10,DC United,3,0,Los Angeles Galaxy,0
1998,1998-07-10,New York Red Bulls,1,2,Mutiny,0
1998,1998-07-10,Sporting Kansas City,2,0,FC Dallas,0
1998,1998-07-14,Miami,3,2,Houston Dynamo,1
1998,1998-07-14,Mutiny,1,3,Los Angeles Galaxy,0
1998,1998-07-14,New England Revolution,0,1,DC United,0
1998,1998-07-17,DC United,4,1,Chicago Fire,0
1998,1998-07-17,FC Dallas,1,3,New England Revolution,0
1998,1998-07-17,Houston Dynamo,0,1,Mutiny,0
1998,1998-07-17,Los Angeles Galaxy,2,3,Miami,1
1998,1998-07-18,New York Red Bulls,3,0,Columbus Crew,0
1998,1998-07-18,Sporting Kansas City,4,1,Colorado Rapids,0
1998,1998-07-24,Columbus Crew,1,2,FC Dallas,0
1998,1998-07-24,Houston Dynamo,2,1,Sporting Kansas City,1
1998,1998-07-24,Los Angeles Galaxy,0,1,DC United,0
1998,1998-07-24,Mutiny,2,3,Colorado Rapids,0
1998,1998-07-24,New York Red Bulls,3,2,Chicago Fire,0
1998,1998-07-25,New England Revolution,1,2,Miami,0
1998,1998-07-28,DC United,3,2,Mutiny,1
1998,1998-07-28,FC Dallas,3,0,Los Angeles Galaxy,0
1998,1998-07-28,Houston Dynamo,3,0,Chicago Fire,0
1998,1998-07-28,Miami,3,2,Columbus Crew,0
1998,1998-07-28,New England Revolution,1,3,Colorado Rapids,0
1998,1998-07-28,New York Red Bulls,3,2,Sporting Kansas City,1
1998,1998-08-04,Colorado Rapids,1,6,Los Angeles Galaxy,0
1998,1998-08-04,New England Revolution,3,0,Houston Dynamo,0
1998,1998-08-05,Mutiny,3,1,Miami,0
1998,1998-08-06,FC Dallas,0,1,DC United,0
1998,1998-08-07,Chicago Fire,1,2,Los Angeles Galaxy,0
1998,1998-08-07,Columbus Crew,6,1,New England Revolution,0
1998,1998-08-07,Sporting Kansas City,3,1,Colorado Rapids,0
1998,1998-08-08,Houston Dynamo,5,1,New York Red Bulls,0
1998,1998-08-11,New York Red Bulls,3,1,Columbus Crew,0
1998,1998-08-12,Los Angeles Galaxy,3,0,Sporting Kansas City,0
1998,1998-08-13,Mutiny,1,2,New England Revolution,1
1998,1998-08-14,Chicago Fire,2,1,Houston Dynamo,0
1998,1998-08-14,Colorado Rapids,0,1,FC Dallas,0
1998,1998-08-14,Miami,3,1,New York Red Bulls,0
1998,1998-08-15,Columbus Crew,5,3,Sporting Kansas City,0
1998,1998-08-17,New York Red Bulls,4,1,Colorado Rapids,0
1998,1998-08-18,Miami,2,1,FC Dallas,0
1998,1998-08-20,Colorado Rapids,0,2,Chicago Fire,0
1998,1998-08-21,Columbus Crew,3,1,Mutiny,0
1998,1998-08-21,DC United,2,1,New York Red Bulls,0
1998,1998-08-21,Houston Dynamo,2,1,FC Dallas,1
1998,1998-08-21,New England Revolution,1,5,Los Angeles Galaxy,0
1998,1998-08-22,Sporting Kansas City,2,0,Miami,0
1998,1998-08-25,Sporting Kansas City,1,2,DC United,0
1998,1998-08-28,FC Dallas,2,0,New York Red Bulls,0
1998,1998-08-28,Houston Dynamo,1,3,Colorado Rapids,0
1998,1998-08-28,Los Angeles Galaxy,0,3,Columbus Crew,0
1998,1998-08-28,Mutiny,3,2,DC United,1
1998,1998-08-28,Sporting Kansas City,2,3,Chicago Fire,1
