season,date,home_team,home_final,away_final,away_team,penalties,p.A,update,elo.A,elo.B
1998,1998-03-14,Miami,0,2,DC United,0,0.6400649998028851,-23.042339992903862,1476.9576600070961,1523.0423399929039
1998,1998-03-20,DC United,3,2,Sporting Kansas City,0,0.6700229026298428,7.919450336883774,1530.9617903297876,1492.0805496631162
1998,1998-03-20,FC Dallas,2,1,Colorado Rapids,1,0.6400649998028851,8.638440004730757,1508.6384400047307,1491.3615599952693
1998,1998-03-20,Los Angeles Galaxy,4,3,Houston Dynamo,1,0.6400649998028851,8.638440004730757,1508.6384400047307,1491.3615599952693
1998,1998-03-20,Miami,0,2,Chicago Fire,0,0.6089745671864031,-21.92308441871051,1455.0345755883857,1521.9230844187105
1998,1998-03-20,Mutiny,1,2,Columbus Crew,0,0.6400649998028851,-15.361559995269243,1484.6384400047307,1515.3615599952693
1998,1998-03-25,Mutiny,0,1,Miami,1,0.6783195472508068,-16.279669134019365,1468.3587708707114,1471.314244722405
1998,1998-03-27,Houston Dynamo,2,3,Colorado Rapids,1,0.6400649998028851,-15.361559995269243,1476,1506.7231199905386
1998,1998-03-27,Los Angeles Galaxy,3,2,New York Red Bulls,0,0.6514395948808681,8.365449722859164,1517.00388972759,1491.6345502771408
1998,1998-03-28,DC United,2,1,New England Revolution,1,0.6800228177660439,7.6794523736149465,1538.6412427034027,1492.320547626385
1998,1998-03-28,FC Dallas,2,1,Columbus Crew,0,0.6311014340300322,8.853565583279227,1517.49200558801,1506.50799441199
1998,1998-04-03,Chicago Fire,2,0,Mutiny,0,0.7076477949324543,10.524679382431644,1532.4477638011422,1457.8340914882797
1998,1998-04-03,Colorado Rapids,0,1,Los Angeles Galaxy,0,0.626320889127594,-15.031701339062256,1491.6914186514764,1532.0355910666522
1998,1998-04-03,Columbus Crew,2,1,DC United,0,0.596444561918523,9.685330513955448,1516.1933249259455,1528.9559121894472
1998,1998-04-03,Miami,2,1,New England Revolution,0,0.6117618834016878,9.317714798359493,1480.6319595207644,1483.0028328280255
1998,1998-04-03,Sporting Kansas City,2,0,New York Red Bulls,0,0.640656264208156,12.936374488506383,1505.0169241516226,1478.6981757886344
1998,1998-04-04,Houston Dynamo,2,3,FC Dallas,1,0.5834127745489314,-14.001906589174354,1461.9980934108257,1531.4939121771843
1998,1998-04-07,Sporting Kansas City,1,0,Chicago Fire,0,0.6029427245423357,9.529374610983943,1514.5462987626065,1522.9183891901582
1998,1998-04-10,Columbus Crew,3,2,New England Revolution,0,0.6828079275603819,7.612609738550835,1523.8059346644964,1475.3902230894746
1998,1998-04-10,DC United,4,3,Colorado Rapids,1,0.6878652426890677,7.491234175462376,1536.4471463649095,1484.200184476014
1998,1998-04-10,Houston Dynamo,1,0,Chicago Fire,0,0.5560042285601235,10.655898514557034,1472.6539919253828,1512.2624906756012
1998,1998-04-10,Miami,2,1,Sporting Kansas City,1,0.5939743118084851,9.744616516596356,1490.3765760373608,1504.8016822460102
1998,1998-04-10,Mutiny,3,1,FC Dallas,0,0.5378341074095684,16.637972133255538,1474.4720636215352,1514.8559400439287
1998,1998-04-10,New York Red Bulls,2,3,Los Angeles Galaxy,0,0.5667519813366784,-13.60204755208028,1465.0961282365543,1545.6376386187324
1998,1998-04-16,Chicago Fire,0,1,New York Red Bulls,0,0.6999705614731115,-16.799293475354677,1495.4631972002464,1481.895421711909
1998,1998-04-17,Columbus Crew,5,1,Miami,0,0.6831056575994211,14.26024540802605,1538.0661800725225,1476.1163306293347
1998,1998-04-17,FC Dallas,1,2,Houston Dynamo,0,0.6939348760387181,-16.654437024929234,1498.2015030189996,1489.308428950312
1998,1998-04-17,New England Revolution,2,1,DC United,1,0.5558100640539673,10.660558462704785,1486.0507815521794,1525.7865879022047
1998,1998-04-17,Sporting Kansas City,1,2,Los Angeles Galaxy,0,0.5843303392517853,-14.023928142042848,1490.7777541039673,1559.6615667607753
1998,1998-04-18,Colorado Rapids,3,0,Mutiny,0,0.6528625573330213,14.579772592013104,1498.7799570680272,1459.892291029522
1998,1998-04-24,Colorado Rapids,5,4,Chicago Fire,1,0.6444517698990164,8.533157522423606,1507.3131145904508,1486.9300396778228
1998,1998-04-24,FC Dallas,3,1,Sporting Kansas City,0,0.649850198939624,12.605392838173534,1510.806895857173,1478.1723612657938
1998,1998-04-24,Los Angeles Galaxy,5,1,Mutiny,0,0.7595044127309623,10.822301427106698,1570.4838681878819,1449.0699896024155
1998,1998-04-24,New England Revolution,3,0,Miami,0,0.6531316876028397,14.568469120680733,1500.61925067286,1461.547861508654
1998,1998-04-24,New York Red Bulls,4,3,Houston Dynamo,0,0.6301763833014364,8.875766800765525,1490.7711885126746,1480.4326621495463
1998,1998-04-25,DC United,2,1,Columbus Crew,1,0.6236240656317792,9.033022424837299,1534.819610327042,1529.0331576476851
1998,1998-04-28,DC United,3,1,Houston Dynamo,0,0.7086265151729613,10.489445453773394,1545.3090557808155,1469.943216695773
1998,1998-04-28,Sporting Kansas City,0,2,Los Angeles Galaxy,0,0.5110628251895003,-18.398261706822012,1459.7740995589718,1588.882129894704
1998,1998-04-29,Mutiny,0,1,Columbus Crew,0,0.528803393757603,-12.691281450182473,1436.378708152233,1541.7244390978676
1998,1998-05-01,Chicago Fire,1,3,DC United,0,0.5596125206829067,-20.14605074458464,1466.783988933238,1565.4551065254002
1998,1998-05-01,Miami,3,2,Colorado Rapids,0,0.577422238209244,10.141866282978144,1471.689727791632,1497.1712483074728
